Address,Ins-Cycle,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0x0,bge x18 x9 40 <end>,IF,ID,EX,MEM,WB,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,
0x4,slli x20 x18 2,,IF,ID,EX,MEM,WB,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,IF,ID,,,,,,,,,,,,
0x8,add x21 x8 x29,,,IF,ID,EX,MEM,WB,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,IF,,,,,,,,,,,,
0xC,lw x22 0 x30,,,,IF,ID,EX,MEM,WB,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,
0x10,slli x23 x22 2,,,,,IF,ID,-,EX,MEM,WB,,,,,,,,IF,ID,-,EX,MEM,WB,,,,,,,,IF,ID,-,EX,MEM,WB,,,,,,,,,,,,,,,,,,
0x14,add x6 x8 x23,,,,,,IF,-,ID,Ex,MEM,WB,,,,,,,,IF,-,ID,Ex,MEM,WB,,,,,,,,IF,-,ID,Ex,MEM,WB,,,,,,,,,,,,,,,,,
0x18,lw x6 0 x31,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,
0x1C,add x28 x28 x6,,,,,,,,,IF,ID,-,EX,MEM,WB,,,,,,,,IF,ID,-,EX,MEM,WB,,,,,,,,IF,ID,-,EX,MEM,WB,,,,,,,,,,,,,,
0x20,addi x18 x18 1,,,,,,,,,,IF,ID,Ex,MEM,WB,,,,,,,,,IF,ID,Ex,MEM,WB,,,,,,,,,IF,ID,Ex,MEM,WB,,,,,,,,,,,,,,
0x24,jal x0 -36 <loop>,,,,,,,,,,,IF,ID,Ex,MEM,WB,,,,,,,,,IF,ID,Ex,MEM,WB,,,,,,,,,IF,ID,Ex,MEM,WB,,,,,,,,,,,,,
0x28,sw x28 0 x29,,,,,,,,,,,,IF,ID,,,,,,,,,,,,IF,ID,,,,,,,,,,,,IF,ID,,,,IF,ID,EX,MEM,WB,,,,,,,
0x2C,addi x17 x0 10,,,,,,,,,,,,,IF,,,,,,,,,,,,,IF,,,,,,,,,,,,,IF,,,,,IF,ID,EX,MEM,WB,,,,,,
0x30,ecall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,-,-,MEM,WB,,,
